Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,4.99858,4.83458,6.35087e+131,7.14948e+131
1,4.99858,4.83458,6.35087e+131,7.14948e+131
2,4.99858,4.83458,6.35087e+131,7.14948e+131
3,4.99858,4.83458,6.35087e+131,7.14948e+131
4,4.99858,4.83458,6.35087e+131,7.14948e+131
5,4.99858,4.83458,6.35087e+131,7.14948e+131
6,4.99858,4.83458,6.35087e+131,7.14948e+131
7,4.99858,4.83458,6.35087e+131,7.14948e+131
8,4.99858,4.83458,6.35087e+131,7.14948e+131
9,4.99858,4.83458,6.35087e+131,7.14948e+131
10,4.99858,4.83458,6.35087e+131,7.14948e+131
11,4.99858,4.83458,6.35087e+131,7.14948e+131
12,4.99858,4.83458,6.35087e+131,7.14948e+131
13,4.99858,4.83458,6.35087e+131,7.14948e+131
14,4.99858,4.83458,6.35087e+131,7.14948e+131
15,4.99858,4.83458,6.35087e+131,7.14948e+131
16,4.99858,4.83458,6.35087e+131,7.14948e+131
17,4.99858,4.83458,6.35087e+131,7.14948e+131
18,4.99858,4.83458,6.35087e+131,7.14948e+131
19,4.99858,4.83458,6.35087e+131,7.14948e+131
20,4.99858,4.83458,6.35087e+131,7.14948e+131
21,4.99858,4.83458,6.35087e+131,7.14948e+131
22,4.99858,4.83458,6.35087e+131,7.14948e+131
23,4.99858,4.83458,6.35087e+131,7.14948e+131
24,4.99858,4.83458,6.35087e+131,7.14948e+131
25,4.99858,4.83458,6.35087e+131,7.14948e+131
26,4.99858,4.83458,6.35087e+131,7.14948e+131
27,4.99858,4.83458,6.35087e+131,7.14948e+131
28,4.99858,4.83458,6.35087e+131,7.14948e+131
29,4.99858,4.83458,6.35087e+131,7.14948e+131
30,4.99858,4.83458,6.35087e+131,7.14948e+131
31,4.99858,4.83458,6.35087e+131,7.14948e+131
32,4.99858,4.83458,6.35087e+131,7.14948e+131
33,4.99858,4.83458,6.35087e+131,7.14948e+131
34,4.99858,4.83458,6.35087e+131,7.14948e+131
35,4.99858,4.83458,6.35087e+131,7.14948e+131
36,4.99858,4.83458,6.35087e+131,7.14948e+131
37,4.99858,4.83458,6.35087e+131,7.14948e+131
